"日付","出品者SKU","FNSKU","ASIN","商品名","コンディション","商品サイズ","通貨","volume-unit","国","請求対象の在庫数","請求金額","追加手数料の対象期間","追加手数料率"
"2023-07-14T15:00:00+00:00","QH-M533-IZEL","X000ZJ3JFT","B09NHPHTSJ","[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (120cm, ウサギ柄)","新品","0.0017","JPY","cubic_meters","JP","1","41.00","365+","41.0"
"2023-07-14T15:00:00+00:00","A2-QYCP-2JFZ","X000ZJ3JE5","B09NHPFTJN","[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (150cm, ウサギ柄)","新品","0.0043","JPY","cubic_meters","JP","5","505.00","365+","101.0"
"2023-07-14T15:00:00+00:00","IR-I1X3-ET6M","X000YPFV3R","B07S4K7DXF","【Smart-KM】C034 ミニ充電器 アップルウォッチ充電器 置くだけ充電パッド 急速充電対応 Wireless PowerPort ワイヤレスチャージャー アップルウォッチ Apple iWatch シリーズ 4/3/2/1全対応 (白)","新品","2.0E-4","JPY","cubic_meters","JP","3","11.00","365+","3.5"
"2023-07-14T15:00:00+00:00","6Q-6OGN-08FY","X000Y4RO8N","B098DWN14D","[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, XXL)","新品","8.0E-4","JPY","cubic_meters","JP","1","5.00","271-365","5.0"
"2023-07-14T15:00:00+00:00","KY-VS07-AZ19","X000Y4QVL9","B098DWHYBR","[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, XXL)","新品","8.0E-4","JPY","cubic_meters","JP","3","15.00","271-365","5.0"
"2023-07-14T15:00:00+00:00","IZ-KJI2-9ICQ","X000Y3RKZ1","B09838BD2Z","[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (イエロー, measurement_15_point_5_centimeters)","新品","0.0042","JPY","cubic_meters","JP","1","26.00","271-365","26.0"
"2023-07-14T15:00:00+00:00","GP-7JNG-JM04","X000Y3QVVF","B09838LPZC","[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (イエロー, measurement_19_point_5_centimeters)","新品","0.005","JPY","cubic_meters","JP","2","236.00","365+","118.0"
"2023-07-14T15:00:00+00:00","MM-RGM0-JIRO","X000Y3QQJR","B09838WLPH","[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (イエロー, measurement_17_point_0_centimeters)","新品","0.0042","JPY","cubic_meters","JP","1","26.00","271-365","26.0"
"2023-07-14T15:00:00+00:00","L7-MHJQ-NXY2","X000XKQ8LR","B093KPR8GB","[Smart-Bear] W018 子供 ソックス 靴下 キッズ ガールズ お姫様 ベビー 柔らかい 春 夏 秋 通気 女の子 5足セット (イチゴ, x_l)","新品","6.0E-4","JPY","cubic_meters","JP","1","14.00","365+","14.0"
"2023-07-14T15:00:00+00:00","J5-L7JS-HX8H","X000XKQ46L","B093KC4M19","[Smart-Bear] W009 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (車, x_l)","新品","0.0019","JPY","cubic_meters","JP","2","87.00","365+","44.0"
"2023-07-14T15:00:00+00:00","L5-0F9K-3CIA","X000XKNEWN","B093KCMXG4","[Smart-Bear] W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (A, x_l)","新品","8.0E-4","JPY","cubic_meters","JP","1","19.00","365+","19.0"
"2023-07-14T15:00:00+00:00","01-ESOX-AV8Q","X000XKMSON","B093JZ2JB9","[Smart-Bear] W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (A, s)","新品","8.0E-4","JPY","cubic_meters","JP","3","56.00","365+","18.5"
"2023-07-14T15:00:00+00:00","JW-7LG8-28A1","X000XKMSOD","B093KN1JQR","[Smart-Bear] W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (A, m)","新品","8.0E-4","JPY","cubic_meters","JP","4","75.00","365+","18.75"
"2023-07-14T15:00:00+00:00","4H-Z807-Q82E","X000XKLW9Z","B093K5D4MD","[Smart-Bear] W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (A, l)","新品","8.0E-4","JPY","cubic_meters","JP","3","56.00","365+","18.666666666666668"
"2023-07-14T15:00:00+00:00","OC-VF51-U7VG","X000WRECMD","B0782TSXGW","[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, L)","新品","8.0E-4","JPY","cubic_meters","JP","2","10.00","271-365","5.0"
"2023-07-14T15:00:00+00:00","WD-OW75-PHRJ","X000UYL393","B08B1SB1DP","[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (人魚柄, measurement_16_point_0_centimeters)","新品","7.0E-4","JPY","cubic_meters","JP","2","33.00","365+","16.5"
"2023-07-14T15:00:00+00:00","BL-6R6N-YARS","X000UYL38T","B08B1RTBC9","[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (人魚柄, measurement_15_point_0_centimeters)","新品","0.0037","JPY","cubic_meters","JP","1","86.00","365+","86.0"
"2023-07-14T15:00:00+00:00","E3-46MA-X1C7","X000UXZN3B","B089YFH2HZ","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ブルー, measurement_17_point_0_centimeters)","新品","3.0E-4","JPY","cubic_meters","JP","3","19.00","365+","6.0"
"2023-07-14T15:00:00+00:00","A5-E10V-I6VF","X000UXZN1D","B089XVNZVJ","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ホワイト, measurement_18_point_5_centimeters)","新品","0.0023","JPY","cubic_meters","JP","1","14.00","271-365","14.0"
"2023-07-14T15:00:00+00:00","A2-8C3Q-TP3H","X000UXZN0T","B089Y5K3LH","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_16_point_0_centimeters)","新品","0.0042","JPY","cubic_meters","JP","1","100.00","365+","100.0"
"2023-07-14T15:00:00+00:00","SX-5OGR-3BLH","X000UXZN09","B089XT4HBK","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (グリーン, measurement_19_point_0_centimeters)","新品","0.0039","JPY","cubic_meters","JP","2","48.00","271-365","24.0"
"2023-07-14T15:00:00+00:00","TU-NT1P-94U3","X000UXZMZ5","B089Y37ZLW","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ブルー, measurement_18_point_5_centimeters)","新品","0.0023","JPY","cubic_meters","JP","3","162.00","365+","54.0"
"2023-07-14T15:00:00+00:00","1W-V35B-OQU4","X000UXZMYV","B089Y42MCJ","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ブルー, measurement_21_point_0_centimeters)","新品","0.0034","JPY","cubic_meters","JP","2","160.00","365+","80.0"
"2023-07-14T15:00:00+00:00","I6-UJFU-XBSO","X000UXZMY1","B089YBK6VH","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (グリーン, measurement_16_point_0_centimeters)","新品","0.0042","JPY","cubic_meters","JP","1","100.00","365+","100.0"
"2023-07-14T15:00:00+00:00","MP-V48A-NX79","X000UXZDE5","B089XXZG2B","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ブルー, measurement_15_point_0_centimeters)","新品","0.0042","JPY","cubic_meters","JP","2","200.00","365+","100.0"
"2023-07-14T15:00:00+00:00","ZC-60UA-LMFU","X000UXXDKB","B089Y996WK","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ブルー, measurement_16_point_0_centimeters)","新品","0.0042","JPY","cubic_meters","JP","1","100.00","365+","100.0"
"2023-07-14T15:00:00+00:00","Q0-HG8U-P1E5","X000UXXDJR","B089YBYJDS","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_15_point_0_centimeters)","新品","0.0042","JPY","cubic_meters","JP","1","100.00","365+","100.0"
"2023-07-14T15:00:00+00:00","BD-BCHN-38VX","X000UXXDIX","B089Y4QLXH","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ホワイト, measurement_15_point_0_centimeters)","新品","0.0042","JPY","cubic_meters","JP","1","26.00","271-365","26.0"
"2023-07-14T15:00:00+00:00","2H-KCMM-7HS3","X000UXXDI3","B089XVC243","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ブルー, measurement_19_point_0_centimeters)","新品","0.0035","JPY","cubic_meters","JP","2","166.00","365+","83.0"
"2023-07-14T15:00:00+00:00","9N-4FPK-JMKR","X000UXXD83","B089XZRV3Z","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_17_point_0_centimeters)","新品","0.0055","JPY","cubic_meters","JP","1","34.00","271-365","34.0"
"2023-07-14T15:00:00+00:00","WU-IPMQ-5LQ3","X000UXXD65","B089Y6X7PH","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ホワイト, measurement_16_point_0_centimeters)","新品","0.0042","JPY","cubic_meters","JP","1","100.00","365+","100.0"
"2023-07-14T15:00:00+00:00","IJ-I7ZU-ZNHG","X000UXXD4H","B089Y2T8BZ","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (グリーン, measurement_15_point_0_centimeters)","新品","0.0042","JPY","cubic_meters","JP","1","100.00","365+","100.0"
"2023-07-14T15:00:00+00:00","RV-6PGA-WUBW","X000UXXD29","B089Y9LF2J","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ホワイト, measurement_21_point_0_centimeters)","新品","0.0044","JPY","cubic_meters","JP","1","27.00","271-365","27.0"
"2023-07-14T15:00:00+00:00","SX-6PUQ-K56B","X000UXXD1Z","B089XYRGZB","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ホワイト, measurement_19_point_0_centimeters)","新品","0.0039","JPY","cubic_meters","JP","2","184.00","365+","92.0"
"2023-07-14T15:00:00+00:00","SH-OD0M-HDQG","X000UXVQ23","B089WGQJT1","[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (イエロー, measurement_15_point_0_centimeters)","新品","0.0032","JPY","cubic_meters","JP","1","20.00","271-365","20.0"
"2023-07-14T15:00:00+00:00","9I-ACXI-QZ5Y","X000UXVQ0Z","B089WH1W1T","[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_19_point_0_centimeters)","新品","0.0032","JPY","cubic_meters","JP","2","152.00","365+","76.0"
"2023-07-14T15:00:00+00:00","F6-17RZ-7XNS","X000UXVO4N","B089WG4GNW","[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_15_point_0_centimeters)","新品","0.0032","JPY","cubic_meters","JP","1","76.00","365+","76.0"
"2023-07-14T15:00:00+00:00","3Z-60WN-SCCV","X000UNOU4J","B088D9XNFV","[Smart-Bear] W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (白色, S:11?13cm(1-2歳))","新品","7.0E-4","JPY","cubic_meters","JP","4","61.00","365+","15.25"
"2023-07-14T15:00:00+00:00","OL-JWJ3-NTJ0","X000UNOU49","B088DBXRFV","[Smart-Bear] W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (白色, M:13?15cm(3-4歳))","新品","7.0E-4","JPY","cubic_meters","JP","5","77.00","365+","15.5"
"2023-07-14T15:00:00+00:00","UC-BNLP-88EH","X000UNOU3P","B088DB1KY2","[Smart-Bear] W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (動物柄, XL:18?21cm(8-11歳))","新品","7.0E-4","JPY","cubic_meters","JP","3","46.00","365+","15.333333333333334"
"2023-07-14T15:00:00+00:00","RJ-QO5B-DDJC","X000UNOU3F","B088DC1H3M","[Smart-Bear] W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (菊柄-男, XL:18?21cm(8-11歳))","新品","7.0E-4","JPY","cubic_meters","JP","5","77.00","365+","15.4"
"2023-07-14T15:00:00+00:00","WV-DEOA-5NE7","X000UNOU2V","B088D9MCN7","[Smart-Bear] W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (菊柄-女, XL:18?21cm(8-11歳))","新品","7.0E-4","JPY","cubic_meters","JP","4","61.00","365+","15.0"
"2023-07-14T15:00:00+00:00","PM-8S2O-C57C","X000UNOU2B","B088D9MBWM","[Smart-Bear] W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (笑い顔, S:11?13cm(1-2歳))","新品","7.0E-4","JPY","cubic_meters","JP","1","15.00","365+","15.0"
"2023-07-14T15:00:00+00:00","CR-BD6G-5J99","X000UNOR3D","B088DB7MFP","[Smart-Bear] W022 可愛い キッズ 子供 靴下 ソックス 豚 パンダ 動物柄 くるぶし ジュニア 通気 メッシュ くつした 男の子 女の子 ソックス 綿 5足セット (多彩色のアルファベット, XL:18?21cm(8-11歳))","新品","6.0E-4","JPY","cubic_meters","JP","4","59.00","365+","14.75"
