"出荷日","出品者SKU","FNSKU","ASIN","FC","数量","Amazon注文番号","通貨","商品金額（商品1点ごと）","配送料","ギフト包装手数料","配送先（市区町村）","都道府県名","配送先（郵便番号）","付与されたAmazon ポイント"
"2022-10-27T17:16:59+09:00","O7-P2TB-P88J","X000ZJ41JH","B09N2Q6J6K","TYO2","1","503-7219182-1148631","JPY","2580.00","0.00","0.00","","長崎県","857-0413","26"
"2022-10-27T17:15:17+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","249-6178325-4383830","JPY","583.00","0.00","0.00","","鹿児島県","890-0007","0"
"2022-10-27T16:47:55+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","NRT5","1","503-7212920-0567007","JPY","718.00","0.00","0.00","","兵庫県","651-0071","7"
"2022-10-27T16:47:52+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","NRT5","1","249-0277802-1454264","JPY","718.00","0.00","0.00","","大阪府","577-0818","7"
"2022-10-27T16:06:34+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","250-8473051-2411856","JPY","565.00","0.00","0.00","","東京都","156-0043","0"
"2022-10-27T15:14:06+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","NRT5","1","250-9407953-4038259","JPY","718.00","0.00","0.00","","岐阜県","506-0853","7"
"2022-10-27T13:22:52+09:00","EC-FOVX-FOBJ","X000YPFQBT","B07C76HMBS","KIX4","1","503-4991333-5407837","JPY","718.00","205.00","0.00","","愛媛県","790-0923","0"
"2022-10-27T12:14:49+09:00","C8-VY3A-HL06","X000RJ6T1D","B07RRJ5TNV","NGO2","1","503-1324263-3176669","JPY","1580.00","0.00","0.00","","愛知県","444-1224","16"
"2022-10-27T11:51:06+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","FSZ1","1","249-4971908-8554211","JPY","598.00","0.00","0.00","","富山県","939-1704","0"
"2022-10-27T11:12:56+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","249-7241906-7415858","JPY","583.00","0.00","0.00","","東京都","174-0051","0"
"2022-10-27T11:11:36+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","249-5538340-1299842","JPY","583.00","0.00","0.00","","東京都","134-0085","0"
"2022-10-27T10:54:38+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","NRT5","1","249-9105507-4759002","JPY","718.00","0.00","0.00","","東京都","143-0023","7"
"2022-10-27T10:53:17+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","NRT5","1","249-9105507-4759002","JPY","718.00","0.00","0.00","","東京都","143-0023","7"
"2022-10-27T10:52:37+09:00","N7-DJHE-BRRC","X000ZN76Q3","B09P8SVSXS","NRT5","1","249-6714043-6666224","JPY","785.00","0.00","0.00","","東京都","131-0041","0"
"2022-10-27T10:08:00+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","FSZ1","1","249-9487429-4127819","JPY","583.00","0.00","0.00","","神奈川県","232-0032","0"
"2022-10-27T06:16:40+09:00","N7-DJHE-BRRC","X000ZN76Q3","B09P8SVSXS","TYO7","1","503-2534586-4140633","JPY","785.00","0.00","0.00","","東京都","166-0015","0"
"2022-10-27T06:14:22+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","NRT5","1","249-5374276-3920630","JPY","718.00","0.00","0.00","","茨城県","300-2641","7"
"2022-10-27T06:08:12+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","503-0587586-0580645","JPY","583.00","0.00","0.00","","神奈川県","242-0001","0"
"2022-10-27T06:07:01+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","TYO6","1","250-9454832-3759052","JPY","718.00","0.00","0.00","","東京都","194-0021","7"
"2022-10-27T06:05:45+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","249-7521062-6973445","JPY","583.00","0.00","0.00","","栃木県","321-0961","0"
"2022-10-27T06:00:16+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","NRT5","1","503-1403893-6134202","JPY","718.00","0.00","0.00","","神奈川県","253-0018","7"
"2022-10-27T05:58:56+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","NRT5","1","503-5912617-4498205","JPY","718.00","0.00","0.00","","神奈川県","243-0204","7"
"2022-10-27T05:38:42+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","250-9500978-3558233","JPY","583.00","0.00","0.00","","埼玉県","338-0001","0"
"2022-10-27T05:06:25+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","2","250-1482575-6415040","JPY","583.00","0.00","0.00","","埼玉県","336-0041","0"
"2022-10-27T05:06:15+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","249-6089030-0285418","JPY","565.00","0.00","0.00","","東京都","173-0002","0"
"2022-10-27T02:22:00+09:00","EC-FOVX-FOBJ","X000YPFQBT","B07C76HMBS","KIX5","1","250-7550753-0147047","JPY","718.00","0.00","0.00","","山梨県","409-3866","0"
"2022-10-27T02:11:41+09:00","N9-GB8J-KI9M","X000RS958N","B07K5S9ZFC","TYO2","1","250-7262661-0596646","JPY","1780.00","0.00","0.00","","長野県","395-0302","18"
"2022-10-27T02:07:45+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","NRT5","1","249-6804119-5212644","JPY","718.00","0.00","0.00","","東京都","111-0021","7"
"2022-10-27T00:15:25+09:00","8Q-579N-RMNK","X000YPEK2Z","B07C76HLX1","TYO2","1","250-9454832-3759052","JPY","718.00","0.00","0.00","","東京都","194-0021","7"
"2022-10-27T00:14:52+09:00","N7-DJHE-BRRC","X000ZN76Q3","B09P8SVSXS","TYO2","1","249-1186572-4632624","JPY","785.00","0.00","0.00","","大阪府","534-0014","0"
"2022-10-27T00:12:44+09:00","IL-1DYL-IXMN","X000RTDFPB","B07STZQL61","TYO2","1","503-7340621-7143845","JPY","1480.00","0.00","0.00","","大阪府","567-0072","15"
"2022-10-26T18:30:21+09:00","8Q-579N-RMNK","X000YPEK2Z","B07C76HLX1","KIX5","1","250-8632694-0063053","JPY","718.00","410.00","0.00","","愛知県","488-0824","7"
"2022-10-26T18:22:44+09:00","8Q-VTYS-YQ5Z","X000RMJ4KD","B07RNDQ5S7","KIX6","1","503-4894901-0037420","JPY","1580.00","0.00","0.00","","鹿児島県","890-0072","16"
"2022-10-26T18:15:44+09:00","SE-6APE-EDI4","X000WRDPNZ","B0782VLBQ7","KIX3","1","249-7123941-7978201","JPY","1780.00","0.00","0.00","","福岡県","807-0801","18"
"2022-10-26T17:35:19+09:00","8Q-VTYS-YQ5Z","X000RMJ4KD","B07RNDQ5S7","QCB1","1","250-4842054-4351863","JPY","1580.00","0.00","0.00","","神奈川県","230-0047","16"
"2022-10-26T17:29:34+09:00","N7-DJHE-BRRC","X000ZN76Q3","B09P8SVSXS","TYO1","1","503-0145792-0620613","JPY","785.00","0.00","0.00",",","埼玉県","340-0043","0"
"2022-10-26T17:16:58+09:00","8Q-579N-RMNK","X000YPEK2Z","B07C76HLX1","TYO2","1","503-3729617-7797441","JPY","718.00","0.00","0.00","","福岡県","839-0822","7"
"2022-10-26T17:14:09+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","503-1625420-5254268","JPY","583.00","0.00","0.00","","新潟県","949-0305","0"
"2022-10-26T17:12:25+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","503-7444144-1575858","JPY","583.00","0.00","0.00","","神奈川県","213-0023","0"
"2022-10-26T17:00:31+09:00","D3-A97R-HYD6","X000RS991B","B07SXQV8NQ","NRT5","1","503-3375459-6491066","JPY","1980.00","0.00","0.00","","大阪府","553-0005","20"
"2022-10-26T15:35:27+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","NRT5","1","249-7592361-2198269","JPY","598.00","205.00","0.00","","福島県","976-0014","0"
"2022-10-26T15:17:11+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","249-1069731-5068634","JPY","598.00","0.00","0.00","","大分県","871-0112","0"
"2022-10-26T15:17:11+09:00","8Q-579N-RMNK","X000YPEK2Z","B07C76HLX1","TYO2","1","250-8467995-8459020","JPY","718.00","410.00","0.00","","静岡県","431-3311","7"
"2022-10-26T15:17:08+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","503-7508569-7711831","JPY","598.00","0.00","0.00","","石川県","927-0435","0"
"2022-10-26T15:16:50+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","503-7508569-7711831","JPY","598.00","0.00","0.00","","石川県","927-0435","0"
"2022-10-26T15:16:44+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","503-8744453-0555823","JPY","598.00","0.00","0.00","","三重県","512-8046","0"
"2022-10-26T14:46:54+09:00","8Q-VTYS-YQ5Z","X000RMJ4KD","B07RNDQ5S7","KIX4","1","249-0156015-1743019","JPY","1580.00","0.00","0.00","","大阪府","533-0014","16"
"2022-10-26T14:07:39+09:00","8Q-579N-RMNK","X000YPEK2Z","B07C76HLX1","TYO2","1","249-9498224-9811865","JPY","718.00","0.00","0.00","","埼玉県","359-0036","7"
"2022-10-26T13:45:53+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","503-9902963-1559063","JPY","598.00","0.00","0.00","","東京都","155-0033","0"
"2022-10-26T13:28:35+09:00","85-HT3S-M7FJ","X000SYFSSR","B07ZDD4DSM","KIX2","1","249-5994795-6755006","JPY","2580.00","0.00","0.00","","長崎県","852-8051","26"
"2022-10-26T12:17:18+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","NRT1","1","249-0617754-2563856","JPY","598.00","0.00","0.00","","神奈川県","244-0815","0"
"2022-10-26T11:13:58+09:00","8Q-579N-RMNK","X000YPEK2Z","B07C76HLX1","TYO2","1","249-3046705-3048621","JPY","718.00","0.00","0.00","","東京都","111-0024","7"
"2022-10-26T10:58:23+09:00","FK-SQOE-Y997","X000WRDZ6R","B0782N7XDJ","KIX4","1","503-5903654-6701441","JPY","1780.00","0.00","0.00","","大阪府","544-0024","18"
"2022-10-26T10:57:42+09:00","SI-EW2B-SYU1","X000RJLK1R","B07RRD55DH","NRT5","1","250-6333244-5039056","JPY","1980.00","0.00","0.00","","東京都","135-0021","20"
"2022-10-26T10:55:07+09:00","ML-8QBG-3WLZ","X000RJJ4E7","B077VVKF43","KIX4","1","249-3055381-8004648","JPY","1380.00","0.00","0.00","","和歌山県","640-8392","0"
"2022-10-26T10:12:12+09:00","FN-VIR3-GDHQ","X000RJ3M1D","B07RN3R4CY","TYO2","1","250-9306444-6269428","JPY","2180.00","0.00","0.00","","東京都","150-0012","22"
"2022-10-26T06:29:45+09:00","GM-LRGS-Y4VG","X000ZJ3JEP","B09NHPKPWB","TYO2","1","249-5994795-6755006","JPY","2580.00","0.00","0.00","","長崎県","852-8051","26"
"2022-10-26T06:29:18+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","503-2656007-0910255","JPY","598.00","0.00","0.00","","群馬県","379-2225","0"
"2022-10-26T06:26:22+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","249-2517642-0169431","JPY","598.00","0.00","0.00","","静岡県","433-8125","0"
"2022-10-26T06:10:41+09:00","L7-MHJQ-NXY2","X000XKQ8LR","B093KPR8GB","KIX3","1","503-8359639-4672662","JPY","1280.00","0.00","0.00","","沖縄県","901-3124","13"
"2022-10-26T06:02:47+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","NRT5","1","249-2507565-4471850","JPY","718.00","0.00","0.00","","東京都","116-0012","7"
"2022-10-26T05:39:42+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","250-9104654-3524604","JPY","598.00","0.00","0.00","","東京都","140-0001","0"
"2022-10-26T02:27:28+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","HND6","1","250-9953582-4756628","JPY","718.00","0.00","0.00","","千葉県","292-0052","7"
"2022-10-26T02:22:18+09:00","91-7A3K-7U8I","X000RJN8FD","B07RRJ3RVV","KIX4","1","503-8522375-1935013","JPY","1380.00","0.00","0.00","","東京都","112-0014","14"
"2022-10-26T02:19:30+09:00","49-XIYM-U7XE","X000UXVQ1J","B089WH2RHR","KIX4","1","249-0207350-4479000","JPY","2580.00","0.00","0.00","","兵庫県","672-8092","26"
"2022-10-26T01:14:03+09:00","B1-V2N2-J8BN","X000RMFHM7","B077VSSFGH","FSZ1","1","503-7645045-5331813","JPY","1380.00","102.00","0.00","","静岡県","413-0014","14"
"2022-10-26T00:28:11+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","250-4981256-8245432","JPY","598.00","0.00","0.00","","神奈川県","241-0001","0"
"2022-10-26T00:19:08+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","250-4528723-0365414","JPY","598.00","0.00","0.00","","京都府","604-8054","0"
"2022-10-26T00:17:29+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO6","1","249-5400747-2716619","JPY","598.00","0.00","0.00","","埼玉県","333-0853","0"
"2022-10-26T00:16:07+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","249-1127109-3240658","JPY","598.00","0.00","0.00","","愛知県","442-0033","0"
"2022-10-26T00:15:53+09:00","HM-5URZ-2K38","X000YPEORV","B07C7KGKBH","TYO2","1","250-6761638-3662214","JPY","718.00","0.00","0.00","","埼玉県","340-0155","7"
"2022-10-26T00:15:45+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","TYO1","1","249-9625013-0133436","JPY","718.00","0.00","0.00","","東京都","160-0022","7"
"2022-10-25T23:19:46+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO6","1","249-9625013-0133436","JPY","598.00","0.00","0.00","","東京都","160-0022","0"
"2022-10-25T23:10:58+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","249-2507565-4471850","JPY","598.00","0.00","0.00","","東京都","116-0012","0"
"2022-10-25T23:10:14+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","TYO7","1","250-1433315-3387839","JPY","718.00","0.00","0.00","","福島県","970-0101","7"
"2022-10-25T23:02:53+09:00","91-7A3K-7U8I","X000RJN8FD","B07RRJ3RVV","KIX4","1","250-9855821-3385441","JPY","1380.00","0.00","0.00","","広島県","737-0934","14"
"2022-10-25T18:23:02+09:00","LR-3KLG-FCBD","X000ZN6XDP","B09P8V2ZC7","KIX1","1","250-1627749-5125406","JPY","908.00","0.00","0.00","","神奈川県","215-0024","0"
"2022-10-25T17:20:53+09:00","6R-P7SR-5Z4X","X000RT7GZB","B07SSKF9KP","TYO2","1","250-4684966-5845459","JPY","1980.00","0.00","0.00","","東京都","133-0056","20"
"2022-10-25T17:16:33+09:00","HM-5URZ-2K38","X000YPEORV","B07C7KGKBH","KIX4","1","503-0150845-0761462","JPY","718.00","205.00","0.00","","茨城県","300-0012","7"
"2022-10-25T17:16:32+09:00","6P-O9LV-C5GR","X000ZT0OO3","B09QHW3DXH","KIX4","1","249-4552485-1147044","JPY","1280.00","0.00","0.00","","Tokyo-to","102-0071","0"
"2022-10-25T17:11:17+09:00","LR-3KLG-FCBD","X000ZN6XDP","B09P8V2ZC7","TYO2","1","503-6973408-8867044","JPY","908.00","0.00","0.00","","東京都","151-0072","0"
"2022-10-25T16:38:33+09:00","HI-AN83-A4ZL","X000UXXD15","B089Y5BKR6","TYO7","1","249-1964392-4494268","JPY","2580.00","0.00","0.00","","新潟県","945-1345","26"
"2022-10-25T15:10:22+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","250-8015525-0388628","JPY","613.00","410.00","0.00","","茨城県","300-0333","6"
"2022-10-25T14:43:24+09:00","1M-UAV8-BEOV","X000ZJ43ZJ","B09NJBRDCD","KIX1","1","503-0219525-7981406","JPY","2580.00","0.00","0.00","","宮崎県","880-0915","26"
"2022-10-25T13:41:05+09:00","LW-8PD5-8DC1","X000RKI7FX","B07RS9PZVZ","TYO2","1","503-5207484-9248612","JPY","2180.00","0.00","0.00","","東京都","193-0833","22"
"2022-10-25T11:16:30+09:00","C8-VY3A-HL06","X000RJ6T1D","B07RRJ5TNV","NRT5","1","503-9903669-1706268","JPY","1580.00","0.00","0.00","","兵庫県","657-0059","16"
"2022-10-25T11:16:28+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","503-7930742-9251819","JPY","609.00","0.00","0.00","","千葉県","278-0051","6"
"2022-10-25T10:56:28+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","NRT5","1","249-7348645-2979868","JPY","718.00","0.00","0.00","","東京都","141-0031","7"
"2022-10-25T10:53:53+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","NRT5","1","250-9589662-5702228","JPY","718.00","0.00","0.00","","東京都","193-0931","7"
"2022-10-25T10:53:53+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","NRT5","1","250-9589662-5702228","JPY","613.00","0.00","0.00","","東京都","193-0931","6"
"2022-10-25T06:19:03+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","TYO7","1","503-6601004-1490206","JPY","718.00","0.00","0.00","","千葉県","260-0024","7"
"2022-10-25T06:17:38+09:00","06-YRWT-IFB9","X0010LALAR","B09Y985544","TYO2","1","250-8640316-9719063","JPY","798.00","0.00","0.00","","千葉県","287-0036","0"
"2022-10-25T05:07:21+09:00","64-4C5P-CH1K","X000Y4QVLJ","B098DWPJZR","TYO2","1","503-7302296-4981416","JPY","1780.00","0.00","0.00","","千葉県","272-0811","18"
"2022-10-25T02:25:35+09:00","O5-VCC0-95D9","X000R151AV","B077VSSXJX","KIX4","1","249-0876544-4717420","JPY","1380.00","0.00","0.00","","富山県","930-0083","14"
"2022-10-25T00:08:13+09:00","C8-VY3A-HL06","X000RJ6T1D","B07RRJ5TNV","TYO2","1","503-1796620-6707000","JPY","1580.00","0.00","0.00","","京都府","601-8037","16"
"2022-10-24T23:56:43+09:00","A1-QYHS-GTNN","X000ZJ43YZ","B09NJF2HY6","TYO2","1","249-3215113-7495064","JPY","2580.00","0.00","0.00","","宮城県","989-6123","26"
"2022-10-24T23:39:53+09:00","EO-0LNC-NHMG","X000ZJ41JR","B09NJD697S","NRT1","1","249-6220806-5803838","JPY","2580.00","0.00","0.00","","神奈川県","236-0035","26"
"2022-10-24T18:29:21+09:00","NR-5Z4P-2YBS","X000RJN8F3","B07RNDMDMY","NRT5","1","250-7312253-6263849","JPY","1380.00","0.00","0.00","","山形県","995-0033","14"
"2022-10-24T18:12:33+09:00","N7-DJHE-BRRC","X000ZN76Q3","B09P8SVSXS","NRT5","1","503-2674237-8216625","JPY","785.00","410.00","0.00","","愛知県","462-0810","0"
"2022-10-24T18:02:39+09:00","97-W48L-K89A","X000YPFN7L","B07C7JX67Y","NRT5","1","503-6827600-2163865","JPY","718.00","0.00","0.00","","東京都","101-0021","7"
"2022-10-24T17:12:57+09:00","91-7A3K-7U8I","X000RJN8FD","B07RRJ3RVV","TYO2","1","249-4146382-0645445","JPY","1380.00","102.00","0.00","","茨城県","311-3115","14"
"2022-10-24T17:12:54+09:00","K0-FLHZ-7ZA5","X000ZJ43ZT","B09NJD26KC","TYO2","1","250-1616227-0311826","JPY","2580.00","0.00","0.00","","福岡県","818-0134","26"
"2022-10-24T17:09:21+09:00","N7-DJHE-BRRC","X000ZN76Q3","B09P8SVSXS","TYO2","1","249-8400001-3435002","JPY","785.00","205.00","0.00","","Tokyo-to","107-0051","0"
"2022-10-24T16:25:17+09:00","MH-HDGL-UPY9","X000RLFVG5","B07RPGFKYW","KIX4","1","249-1018422-1276668","JPY","1380.00","0.00","0.00","","岐阜県","503-1314","14"
"2022-10-24T15:08:47+09:00","C8-VY3A-HL06","X000RJ6T1D","B07RRJ5TNV","TYO2","1","249-2446701-0486225","JPY","1580.00","0.00","0.00","","埼玉県","343-0011","16"
"2022-10-24T14:34:03+09:00","IL-1DYL-IXMN","X000RTDFPB","B07STZQL61","KIX5","1","249-6160474-9420641","JPY","1480.00","0.00","0.00","","福岡県","818-0025","15"
"2022-10-24T14:34:03+09:00","91-7A3K-7U8I","X000RJN8FD","B07RRJ3RVV","KIX5","1","249-6160474-9420641","JPY","1380.00","0.00","0.00","","福岡県","818-0025","14"
"2022-10-24T06:23:25+09:00","HI-AN83-A4ZL","X000UXXD15","B089Y5BKR6","NRT5","1","249-1920038-5854205","JPY","2580.00","0.00","0.00","","埼玉県","369-1201","26"
"2022-10-24T06:10:13+09:00","JQ-MLRE-AH9L","X000YPEOAN","B07C7NS57M","TYO2","1","249-1179601-2560642","JPY","613.00","0.00","0.00","","茨城県","301-0002","6"
"2022-10-24T06:09:57+09:00","LW-8PD5-8DC1","X000RKI7FX","B07RS9PZVZ","TYO2","1","503-4287488-1623018","JPY","2180.00","0.00","0.00","","東京都","160-0004","22"
"2022-10-24T06:09:56+09:00","T8-FSOJ-B0V1","X000YPFNUN","B07C7PVL42","NRT5","1","503-9279953-4905425","JPY","718.00","0.00","0.00","","東京都","123-0872","7"
"2022-10-24T06:00:56+09:00","8Q-579N-RMNK","X000YPEK2Z","B07C76HLX1","NRT5","1","503-6609349-7563055","JPY","718.00","0.00","0.00","","千葉県","260-0024","7"
"2022-10-24T02:16:23+09:00","EM-GSK7-J02B","X000RQCC3Z","B07STH5GK7","KIX4","1","249-2518281-4114268","JPY","1980.00","0.00","0.00","","埼玉県","340-0041","20"
